trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,pegRatio,enterpriseToRevenue,enterpriseToEbitda,profitMargins,operatingMargins,grossMargins,ebitdaMargins,returnOnEquity,returnOnAssets,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,operatingCashflow,trailingEps,forwardEps,bookValue,revenuePerShare,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,marketCap,dividendYield,payoutRatio,ticker
30.326134,29.191269,11.005644,9.324113,,9.565,16.673,0.30977,0.52373004,0.59566003,0.5737,0.39299,0.19996999,0.152,0.215,0.235,70.675,4.517,3.72,4525499904.0,7432800256.0,3244112384.0,4618299904.0,4.63,4.81,12.758,15.091,1.082,144.25,72.855225,115009200128.0,2.56,0.6124,SCCO
,10.885057,0.8134341,0.44252563,,0.668,13.339,-0.00651,-0.37278,0.55759,0.05007,-0.0114400005,0.01089,-0.049,,,52.153,1.156,0.532,94300000.0,457900000.0,69587504.0,84300000.0,-0.69,2.61,34.926,60.164,1.183,31.86,15.77,714192128.0,2.82,1.3558999,SCHL
21.971897,24.689474,3.932928,7.432307,,6.069,,0.35930002,0.49242002,0.97342,0.0,0.17046,0.01768,0.266,0.775,0.675,99.789,0.59,0.59,83681001472.0,49280000000.0,,-753000000.0,4.27,3.8,23.855,12.597,0.956,99.59,65.88,170303881216.0,1.15,0.2482,SCHW
20.458221,19.166666,6.7943788,2.4797099,,3.596,11.796,0.124589995,0.21474001,0.26436,0.30484,0.33475,0.03381,0.044,0.025,-0.003,320.914,0.558,0.47,241339008.0,5029639168.0,454089760.0,993977024.0,3.71,3.96,11.171,30.052,0.986,86.83,71.75,10639765504.0,1.79,0.3396,SCI
,25.599998,0.65073717,0.64029837,,1.01,-9.3,-0.18476999,-0.34053,0.49932,-0.10855,-0.17525,-0.0712,-0.198,,,50.472,1.097,0.439,2015749.0,7904166.0,-418374.0,-1687261.0,-0.38,0.05,1.967,2.035,1.428,1.72,0.82,10209871.0,,0.0,SCKT
22.80808,11.095822,0.8192885,0.4433798,,0.706,8.222,0.01964,0.03735,0.119399995,0.085810006,0.03669,0.01957,0.079,-0.544,-0.541,57.949,1.301,0.777,118537000.0,722497984.0,27671376.0,156176992.0,1.98,4.07,55.121,100.771,1.052,77.76,41.82,1021474752.0,3.5,0.77779996,SCL
,-49.102566,-0.6437408,2.9072237,,4.408,-0.686,0.0,-17.66212,0.68593,0.0,,-0.87428004,-0.269,,,,0.046,0.036,878000.0,67666000.0,-20055150.0,23821000.0,-40.46,-0.39,-29.748,4.725,1.336,34.27,3.6,117335552.0,,0.0,SCLX
0.3,,0.81466395,3.628483,,6342.583,-1078.568,4.48387,-4.86805,-1.46992,0.0,17.919859,-0.39555,0.361,,,29.982,0.71,0.532,989000.0,2356000.0,-3387625.0,-5689000.0,4.0,,1.473,0.872,1.674,6.18,0.86,4161870.0,,0.0,SCNI
,4.862319,-1.2817574,0.09376248,,0.76,23.932,-0.02755,0.01918,0.41587,0.031770002,-0.05124,0.0029300002,0.005,,,32.285,0.646,0.546,26705000.0,58505000.0,14450625.0,9453000.0,-5.44,1.38,-5.235,70.016,1.05,10.18,4.39,33655104.0,,0.0,SCOR
,-7.767123,,6.090952,,6.275,-4.714,-1.8354601,-0.89109004,0.68464,-1.33129,,-0.57081,0.992,,,,3.854,2.961,41093000.0,52448000.0,-41906124.0,-65860000.0,-1.81,-0.73,-0.4,0.963,0.3,6.2799,1.94,304358784.0,,0.0,SCPH
